"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"events/air_bought";"You have this vehicle";"Vous avez ce véhicule";"Possiedi questa unità";"Du besitzt dieses Fahrzeug";"Tienes este vehículo";"У вас есть эта техника";"Masz ten pojazd";"Tento stroj máš";"Bu araca sahipsiniz";"已\t拥\t有\t该\t型\t号";"この\t機体を\t所有しています。";"Já tem esta aeronave";"You have this vehicle";"У вас є ця техніка";"Imate ovo vozilo";"Rendelkezel ezzel a járművel";"이미 가지고 있는 장비입니다.";"У вас ёсць гэтая машына";"Ai acest vehicul";"已擁有該型號";"已\t拥\t有\t该\t型\t号";"NOT TRANSLATED";
"events/air_can_buy";"You can purchase this vehicle";"Vous pouvez acheter ce véhicule";"Puoi comprare questo aereo";"Du kannst dieses Fahrzeug kaufen";"Puedes comprar este vehículo";"Вы можете купить эту технику";"Możesz kupić ten pojazd";"Tento stroj si můžeš koupit";"Bu aracı satın alabilirsiniz";"已\t能\t购\t买\t该\t型\t号";"この\t機体を\t購入することができます。";"Pode comprar esta aeronave";"You can purchase this vehicle";"Ви можете купити цю техніку";"Možete kupiti ovo vozilo";"Megveheted ezt a járművet";"이 장비를 구입할 수 있습니다.";"Вы можаце купіць гэту машыну";"Poți cumpăra acest vehicul";"已能購買該型號";"已\t能\t购\t买\t该\t型\t号";"NOT TRANSLATED";
"events/all_units_allowed";"All types of vehicles are allowed";"Tous les types de véhicules sont autorisés";"Sono ammesse tutti i tipi di unità";"Alle Fahrzeugtypen sind zulässig";"Todos los aviones y tanques están permitidos";"Разрешены все типы техники";"Dozwolone są wszystkie typy pojazdów";"Povoleny všechny typy strojů";"Tüm araç türleri kullanılabilir";"可\t使\t用\t任\t何\t载\t具";"全ての\t航空機および\t戦車が\t使用可能";"São permitidos todos os tipos de veículo";"All types of vehicles are allowed";"Дозволені усі літаки і танки";"Svi vrste vozil su dozvoljeni";"Minden járműtípusok engedélyezett";"모든 종류의 장비가 허용됩니다.";"Дазволеныя ўсе тыпы тэхнікі";"Sunt permise toate tipurile de vehicule";"可使用任何載具";"可\t使\t用\t任\t何\t载\t具";"NOT TRANSLATED";
"events/all_crafts_allowed";"All aircraft are allowed";"Tous les avions sont autorisés";"Tutti gli aerei sono consentiti";"Alle Flugzeuge sind verfügbar";"Todos los aviones están permitidos";"Разрешены все самолёты";"Wszystkie samoloty są dozwolone";"Povolena všechna letadla";"Tüm uçaklar kullanılabilir";"可\t使\t用\t任\t何\t机\t型";"全ての\t航空機が\t使用可能";"Todas as aeronaves disponíveis";"All aircraft are allowed";"Дозволені усі літаки";"Svi avioni su dozvoljeni";"Minden repülőgép engedélyezett";"모든 항공기가 허용됩니다.";"Дазволеныя ўсе самалёты";"Sunt permise toate avioanele";"可使用任何機型";"可\t使\t用\t任\t何\t机\t型";"NOT TRANSLATED";
"events/all_tanks_allowed";"All tanks are allowed";"Tous les véhicules au sol sont autorisés";"Sono ammesse tutte le unità terrestri";"Alle Panzer sind zulässig";"Todos los tanques están permitidos";"Разрешены все танки";"Wszystkie pojazdy naziemne są dozwolone";"Povolena všechna vozidla";"Tüm tanklar kullanılabilir";"可\t使\t用\t任\t何\t地\t面\t载\t具";"全ての\t戦車が\t使用可能";"Todos os veículos terrestres são permitidos";"All tanks are allowed";"Дозволені усі танки";"Svi tenkovi su dozvoljeni";"Minden harckocsi engedélyezett";"모든 차량이 허용됩니다.";"Дазволеныя ўсе танкі";"Sunt permise toate tancurile";"可使用任何地面載具";"可\t使\t用\t任\t何\t地\t面\t载\t具";"NOT TRANSLATED";
"events/allowed_units";"{unitType} and {unitType2} are allowed";"Seul les {unitType} et {unitType2} sont autorisés";"Possono essere utilizzati {unitType} e {unitType2}";"{unitType} and {unitType2} are allowed";"Está permitido {unitType} y {unitType2}";"Разрешены {unitType} и {unitType2}";"{unitType} i {unitType2} są dozwolone";"Povoleny {unitType} a {unitType2}";"{unitType} and {unitType2} are allowed";"可\t使\t用\t {unitType} \t和\t {unitType2}";"{unitType} and {unitType2} are allowed";"{unitType} and {unitType2} are allowed";"{unitType} and {unitType2} are allowed";"{unitType} и {unitType2} дозволені";"{unitType} and {unitType2} are allowed";"{unitType} and {unitType2} are allowed";"{unitType} and {unitType2} are allowed";"{unitType} and {unitType2} are allowed";"Sunt permise {unitType} și {unitType2}";"{unitType} and {unitType2} are allowed";"{unitType} and {unitType2} are allowed";"NOT TRANSLATED";
"events/allowed_units/Aircraft";"aircraft";"avions";"aerei";"aircraft";"aeronaves";"самолёты";"samoloty";"letadla";"aircraft";"空\t中\t单\t位";"aircraft";"aircraft";"aircraft";"літаки";"aircraft";"aircraft";"aircraft";"aircraft";"avioane";"aircraft";"aircraft";"NOT TRANSLATED";
"events/allowed_units/Tank";"tanks";"chars";"carri armati";"tanks";"carros de combate";"танки";"czołgi";"vozidla";"tanks";"地\t面\t载\t具";"tanks";"tanks";"tanks";"танки";"tanks";"tanks";"tanks";"tanks";"tancuri";"tanks";"tanks";"NOT TRANSLATED";
"events/allowed_units/Ship";"ships";"navires";"navi";"ships";"buques";"корабли";"okręty";"lodě";"ships";"水\t面\t载\t具";"ships";"ships";"ships";"кораблі";"ships";"ships";"ships";"ships";"nave";"ships";"ships";"NOT TRANSLATED";
"events/allowed_units/Helicopter";"helicopters";"hélicoptères";"Elicotteri";"helicopters";"helicópteros";"вертолёты";"śmigłowce";"helicopters";"helicopters";"直\t升\t机";"helicopters";"helicopters";"helicopters";"гелікоптери";"helicopters";"helicopters";"helicopters";"helicopters";"elicoptere";"helicopters";"直\t升\t机";"NOT TRANSLATED";
"events/allowed_only/Aircraft";"Only aircraft are allowed";"Seuls les avions sont autorisés";"Sono ammessi solo aerei";"Nur Flugzeuge sind zulässig";"Solo se permiten aviones";"Разрешены только самолёты";"Dozwolone są jedynie samoloty";"Povolena pouze letadla";"Sadece uçaklar kullanılabilir";"只\t有\t空\t中\t单\t位\t才\t能\t参\t加\t该\t行\t动";"航空機のみ\t使用可能";"Apenas aeronaves são permitidas";"Only aircraft are allowed";"Дозволені лише літаки";"Samo su avioni dozvoljeni";"Csak repülőgépek engedélyezettek";"항공기만 사용할 수 있습니다.";"Дазволеныя толькі самалёты";"Sunt permise doar avioane";"只有飛行單位才能參加該行動";"只\t有\t空\t中\t单\t位\t才\t能\t参\t加\t该\t行\t动";"NOT TRANSLATED";
"events/allowed_only/Tank";"Only tanks are allowed";"Seuls les chars sont autorisés";"Sono ammessi solo i carri armati";"Nur Panzer sind zulässig";"Solo se permiten tanques";"Разрешены только танки";"Dozwolone są jedynie czołgi";"Povolena pouze vozidla";"Sadece tanklar kullanılabilir";"只\t有\t地\t面\t载\t具\t才\t能\t参\t加\t该\t行\t动";"戦車のみ\t使用可能";"Apenas tanques são permitidos";"Only tanks are allowed";"Дозволені лише танки";"Samo su tenkovi dozvoljeni";"Csak harckocsik engedélyezettek";"차량만 사용할 수 있습니다.";"Дазволеныя толькі танкі";"Sunt permise doar tancuri";"只有地面載具才能參加該行動";"只\t有\t地\t面\t载\t具\t才\t能\t参\t加\t该\t行\t动";"NOT TRANSLATED";
"events/allowed_only/Ship";"Only ships are allowed";"Seuls les navires sont autorisés";"Sono ammesse solo le navi";"Only ships are allowed";"Solo se permiten buques";"Разрешены только корабли";"Dozwolone są tylko okręty";"Povoleny pouze lodě";"Only ships are allowed";"只\t有\t水\t面\t载\t具\t才\t能\t参\t加\t该\t行\t动";"Only ships are allowed";"Only ships are allowed";"Only ships are allowed";"Допускаються лише кораблі";"Only ships are allowed";"Only ships are allowed";"Only ships are allowed";"Only ships are allowed";"Sunt permise doar nave";"Only ships are allowed";"只\t有\t舰\t艇\t可\t以\t参\t加";"NOT TRANSLATED";
"events/allowed_only/Helicopter";"Only helicopters are allowed";"Seuls les hélicoptères sont autorisés";"Sono ammessi solo gli Elicotteri";"Only helicopters are allowed";"Solo se permiten helicópteros";"Разрешены только вертолёты";"Dozwolone są tylko helikoptery";"Only helicopters are allowed";"Only helicopters are allowed";"只\t有\t直\t升\t机\t才\t能\t参\t加\t该\t行\t动";"Only helicopters are allowed";"Only helicopters are allowed";"Only helicopters are allowed";"Допускаються лише гелікоптери";"Only helicopters are allowed";"Only helicopters are allowed";"Only helicopters are allowed";"Only helicopters are allowed";"Sunt permise doar elicoptere";"Only helicopters are allowed";"只\t有\t直\t升\t机\t可\t以\t参\t加";"NOT TRANSLATED";
"events/selected_craft_is_not_allowed";"Selected vehicle is not allowed";"Le véhicule sélectionné n'est pas autorisé";"L'unità selezionata non è consentita";"Ausgewähltes Fahrzeug ist nicht verfügbar";"El vehículo seleccionado no está permitido";"Выбранная вами техника не допущена";"Wybrany pojazd nie jest dozwolony";"Vybraný stroj nepovolen";"Seçilen araç kullanılamaz";"所\t选\t载\t具\t不\t可\t用";"選択された\t機体は\t使用できません";"Aeronave selecionada não está disponível";"Selected vehicle is not allowed";"Не дозволено взяти участь на обраній техніці";"Odabrano vozilo nije dozvolejno";"A kiválasztott jármű nem engedélyezett";"선택된 장비는 사용할 수 없습니다.";"Выбраная вамі тэхніка не дазволеная";"Vehiculul selectat nu este permis";"所選載具不可用";"所\t选\t载\t具\t不\t可\t用";"NOT TRANSLATED";
"events/minSquadSize";"Squad size is smaller than {minSize}";"La taille de l'escouade est inférieure à {minSize}";"Dimensione plotone più piccolo di {minSize}";"Staffel ist kleiner als {maxSize}";"El tamaño del escuadrón es menor que {minSize}";"Размер отряда меньше {minSize}";"Liczebność drużyny jest mniejsza niż {minSize}";"Členů skupiny je méně než {minSize}";"Takım büyüklüğü {minSize} kişiden küçük";"小\t队\t规\t模\t小\t于\t {minSize}";"分隊規模は{minSize} より\t小さいです";"Squad size is smaller than {minSize}";"Squad size is smaller than {minSize}";"Розмір загону менше {minSize}";"Squad size is smaller than {minSize}";"Az osztag mérete kisebb mint {minSize}";"편대 규모가 {minSize} 보다 작습니다.";"Памер атрада меншы за {minSize}";"Mărimea detașamentului este mai mică de {minSize}";"Squad size is smaller than {minSize}";"小\t队\t规\t模\t小\t于\t {minSize}";;
"events/maxSquadSize";"Squad size is bigger than {maxSize}";"La taille de l'escouade est supérieure à {maxSize}";"Dimensione plotone più grande di {maxSize}";"Staffel ist größer als {maxSize}";"El tamaño del escuadrón es mayor que {maxSize}";"Размер отряда больше {maxSize}";"Liczebność drużyny jest większa niż {maxSize}";"Členů skupiny je více než {maxSize}";"Takım büyüklüğü {maxSize} kişiden büyük";"小\t队\t规\t模\t大\t于\t {maxSize}";"分隊規模は{maxSize} より\t大きいです";"Squad size is bigger than {maxSize}";"Squad size is bigger than {maxSize}";"Розмір загону більше {maxSize}";"Squad size is bigger than {maxSize}";"Az osztag mérete nagyobb mint {maxSize}";"편대 규모가 {maxSize} 보다 큽니다.";"Памер атрада большы за {maxSize}";"Mărimea detașamentului este mai mare de {maxSize}";"Squad size is bigger than {maxSize}";"小\t队\t规\t模\t大\t于\t {minSize}";;
"events/chapter/basic_events";"Events";"Événements";"Eventi";"Ereignisse";"Eventos";"События";"Wydarzenia";"Eventy";"Etkinlikler";"军\t事\t行\t动";"イベント";"Eventos";"Events";"Події";"Eventi";"Események";"이벤트";"Падзеі";"Evenimente";"Events";"军\t事\t行\t动";"NOT TRANSLATED";
"events/chapter/basic_events/ended";"Ended Events";"Événements terminés";"Eventi conclusi";"Beendete Ereignisse";"Eventos finalizados";"Окончившиеся события";"Zakończone wydarzenia";"Ukončené eventy";"Sona Eren Etkinlikler";"已\t结\t束\t的\t行\t动";"終了した\tイベント";"Eventos encerrados";"Ended Events";"Події, що закінчилися";"Završeni eventi";"Véget ért események";"종료된 이벤트";"Мінулыя падзеі";"Evenimente încheiate";"Ended Events";"已\t结\t束\t的\t行\t动";"NOT TRANSLATED";
"events/chapter/clan_events";"Squadron Events";"Événements d'Escadrons";"Eventi Squadriglie";"Kampfgruppen-Ereignisse";"Eventos de escuadrón";"Полковые события";"Wydarzenia klanowe";"Svazové eventy";"Filo Etkinlikleri";"联\t队\t战";"部隊\tイベント";"Eventos em Esquadrão";"Squadron Events";"Полкові події";"Eventi za eskadrile";"Századesemények";"비행대 이벤트";"Палкавыя падзеі";"Evenimente companii";"Squadron Events";"联\t队\t战";"NOT TRANSLATED";
"events/chapter/clan_events/ended";"Ended Squadron Events";"Événements Escadron terminés";"Eventi squadre terminati";"Beendete Kampfgruppen-Ereignisse";"Eventos de escuadrón finalizados";"Окончившиеся полковые события";"Zakończone wydarzenia klanowe";"Ukončené svazové eventy";"Sona Eren Filo Etkinlikleri";"已\t结\t束\t的\t联\t队\t战";"終了した\t部隊\tイベント";"Eventos em Esquadrão Terminados";"Ended Squadron Events";"Полкові події, що закінчилися";"Završeni eventi za eskadrile";"Véget ért századesemények";"종료된 비행대 이벤트";"Мінулыя палкавыя падзеі";"Evenimente companii încheiate";"Ended Squadron Events";"已\t结\t束\t的\t联\t队\t战";"NOT TRANSLATED";
