"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"jap_rising_sun_order_8_class/name";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Ordine del Sol Levante VIII Classe";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Орден Восходящего солнца 8 степени";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Орден Вранішнього сонця 8 ступеня";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";"Ordinul Soarelui Răsare clasa 8";"Order of the Rising Sun 8th Class";"Order of the Rising Sun 8th Class";;
"jap_rising_sun_order_8_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_rising_sun_order_7_class/name";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Ordine del Sol Levante VII Classe";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Орден Восходящего солнца 7 степени";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Орден Вранішнього сонця 7 ступеня";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";"Ordinul Soarelui Răsare clasa 7";"Order of the Rising Sun 7th Class";"Order of the Rising Sun 7th Class";;
"jap_rising_sun_order_7_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_rising_sun_order_6_class/name";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Ordine del Sol Levante VI Classe";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Орден Восходящего солнца 6 степени";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Орден Вранішнього сонця 6 ступеня";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";"Ordinul Soarelui Răsare clasa 6";"Order of the Rising Sun 6th Class";"Order of the Rising Sun 6th Class";;
"jap_rising_sun_order_6_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_sun/name";"Order of the Rising Sun 5th Class";"Ordre du Soleil Levant 5e classe";"Kun go tō kyokujitsu akira";"Orden der Aufgehenden Sonne 5. Klasse";"Orden del sol naciente de 5ª clase";"Орден Восходящего солнца 5 степени";"Order Wschodzącego Słońca V klasy";"Řád vycházejícího slunce 5. třídy";"5. Sınıf Yükselen Güneşin Adalet Nişanı";"勋\t五\t等\t双\t光\t旭\t日\t章";"勲五等旭日章";"Kun Gotou Kyokujitushou gotou (Ordem do Sol Nascente de 5ª Classe)";"Order of the Rising Sun 5th Class";"Орден Висхідного сонця 5-го ступеня";"Orden Izlazećeg Sunca 5. Klase";"Felkelő Nap Érdemrend V. fokozat";"훈5등쌍광욱일장(勲五等双光旭日章)";"Ордэн Узыходнага сонца 5-й ступені";"Ordinul Soarelui Răsare clasa 5";"勳五等雙光旭日章";"勋\t五\t等\t双\t光\t旭\t日\t章";;
"jap_sun/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_reservist_badge/name";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Distintivo di Ufficiale Riservista della Marina Imperiale";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Нагрудный знак ветерана ВМФ";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Нагрудний знак ветерана ВМФ";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";"Insigna rangului de ofițer rezervist al Marinei Imperiale";"Imperial Navy Reservist Officer's Rank Badge";"Imperial Navy Reservist Officer's Rank Badge";;
"jap_reservist_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_navy_pilot_badge_2_class/name";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Distintivo di Pilota della Marina II Classe";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Нагрудный знак пилота ВМФ 2 класса";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Нагрудний знак пілота ВМФ 2 класу";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";"Insigna pilotului marinei clasa 2";"Navy pilot badge 2nd class";"Navy pilot badge 2nd class";;
"jap_navy_pilot_badge_2_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_navy_pilot_badge_1_class/name";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Distintivo di Pilota della Marina I Classe";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Нагрудный знак пилота ВМФ 1 класса";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Нагрудний знак пілота ВМФ 1 класу";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Navy pilot badge 1st class";"Insigna pilotului marinei clasa 1";"Navy pilot badge 1st class";"Navy pilot badge 1st class";;
"jap_navy_pilot_badge_1_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_khalkhingol_medal/name";"1931–34 China Incident War Medal";"1931–34 China Incident War Medal";"Medaglia della Guerra Incidente in Cina 1931 – 34";"1931–34 China Incident War Medal";"1931–34 China Incident War Medal";"Медаль За участие в маньчжурском инциденте";"1931–34 China Incident War Medal";"1931–34 China Incident War Medal";"1931–34 China Incident War Medal";"1931\t–\t34 China Incident War Medal";"1931–34 China Incident War Medal";"1931–34 China Incident War Medal";"1931–34 China Incident War Medal";"Медаль За участь в маньчжурському інциденті";"1931–34 China Incident War Medal";"1931–34 China Incident War Medal";"1931–34 China Incident War Medal";"1931–34 China Incident War Medal";"Medalia „Războiului cu China 1931-1934”";"1931–34 China Incident War Medal";"1931\t–\t34 China Incident War Medal";;
"jap_khalkhingol_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_jaaf_officer_badge/name";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"Distintivo pilota ufficiale superiore JAAF";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"Нагрудный знак пилота (офицеры)";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"Нагрудний знак пілота (офіцери)";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";"Insigna pilotului ofițer superior al FAAJ";"JAAF Pilot Badge of a superior officer pilot";"JAAF Pilot Badge of a superior officer pilot";;
"jap_jaaf_officer_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_jaaf_nco_badge/name";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"Distintivo pilota JAAF (NCO)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"Нагрудный знак пилота (рядовой состав)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"Нагрудний знак пілота (рядовий склад)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";"Insignă pilot (NCO) FAAJ";"JAAF Pilot Badge (NCO)";"JAAF Pilot Badge (NCO)";;
"jap_jaaf_nco_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_gunner_bomber_badge/name";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Distintivo artigliere di un bombardiere della Marina ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Нагрудный знак артиллериста бомбардира ВМФ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Нагрудний знак артилериста бомбардира ВМФ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";"Insigna trăgătorului din bombardiere ale marinei";"Gunner bomber Navy Badge ";"Gunner bomber Navy Badge ";;
"jap_gunner_bomber_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_golden_kite_order_7_class/name";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Ordine del Nibbio d'Oro VII Classe";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Орден Золотого коршуна 7 степени";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Орден Золотого сокола 7-го ступеня";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";"Ordinul Uliul de Aur clasa 7";"Order of the Golden Kite 7th Class";"Order of the Golden Kite 7th Class";;
"jap_golden_kite_order_7_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_golden_kite_order_6_class/name";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Ordine del Nibbio d'Oro VI Classe";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Орден Золотого коршуна 6 степени";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Орден Золотого сокола 6-го ступеня";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";"Ordinul Uliul de Aur clasa 6";"Order of the Golden Kite 6th Class";"Order of the Golden Kite 6th Class";;
"jap_golden_kite_order_6_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_gold/name";"Order of the Golden Kite 5th Class";"Ordre du cerf-volant d'or 5e classe";"Dai go tō kinshikunshō";"Der Orden des Goldenen Milans 5. Klasse";"Orden del milano de oro de 5ª clase";"Орден Золотого коршуна 5 степени";"Order Złotego Sokoła V klasy";"Řád zlatého luňáka 5. třídy";"5. Sınıf Altın Adalet Kalkanı";"功\t五\t级\t金\t鸱\t勋\t章";"第五等金鵄勲章";"Dai Gotou Kinkukunshou gotou (Ordem de Kita de Ouro de 5ª Classe)";"Order of the Golden Kite 5th Class";"Орден Золотого сокола 5-го ступеня";"Orden Zlatnog Zmaja 5. Klase";"Aranysárkány Érdemrend V. fokozat";"공5급금치훈장(功五級金鵄勲章)";"Ордэн Залатога сокала 5-й ступені";"Ordinul Uliul de Aur clasa 5";"功五級金鴟勳章";"功\t五\t级\t金\t鸱\t勋\t章";;
"jap_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_golden_kite_order_4_class/name";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Ordine del Nibbio d'Oro IV Classe";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Орден Золотого коршуна 4 степени";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Орден Золотого сокола 4-го ступеня";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";"Ordinul Uliul de Aur clasa 4";"Order of the Golden Kite 4th Class";"Order of the Golden Kite 4th Class";;
"jap_golden_kite_order_4_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_damage_control_badge/name";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Distintivo di competenza di controllo dei danni";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Нагрудный знак моряка (за атаку)";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Нагрудний знак моряка (за атаку)";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";"Insigna stăpânirii eficiente a distrugerilor";"Damage Control Proficiency Badge";"Damage Control Proficiency Badge";;
"jap_damage_control_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_china_medal/name";"1937–45 China Incident War Medal";"1937–45 China Incident War Medal";"Medaglia della Guerra Incidente in Cina 1937 – 45";"1937–45 China Incident War Medal";"1937–45 China Incident War Medal";"Медаль За участие в китайском инциденте";"1937–45 China Incident War Medal";"1937–45 China Incident War Medal";"1937–45 China Incident War Medal";"1937\t–\t45 China Incident War Medal";"1937–45 China Incident War Medal";"1937–45 China Incident War Medal";"1937–45 China Incident War Medal";"Медаль За участь у китайському інциденті";"1937–45 China Incident War Medal";"1937–45 China Incident War Medal";"1937–45 China Incident War Medal";"1937–45 China Incident War Medal";"Medalia „Războiului cu China 1937-1945”";"1937–45 China Incident War Medal";"1937\t–\t45 China Incident War Medal";;
"jap_china_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_bukochosho_2_class/name";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Distintivo al Merito Militare II Classe";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Знак За военные заслуги 2 класса";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Знак За військові заслуги 2 класу";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";"Insigna pentru Merit Militar clasa 2";"Badge for Military Merit 2nd class";"Badge for Military Merit 2nd class";;
"jap_bukochosho_2_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_merit/name";"Badge for Military Merit 1st class";"Ordre du mérite militaire";"Bukō kishō";"Medaille „Für Verdienste im Kampf“";"Orden del mérito militar";"Знак За военные заслуги 1 класса";"Order Zasług Wojskowych";"Řád za vojenské zásluhy";"Askeri Başarı Mertebesi";"武\t功\t徽\t章";"武功徽章";"Bukou Kishou (Ordem de Mérito Militar)";"Badge for Military Merit 1st class";"Орден ""За військові заслуги""";"Orden Vojnih Zasluga";"Katonai Érdemrend";"육군무공훈장(陸軍武功徽章)";"Ордэн ""За ваенныя заслугі""";"Ordinul Virtuții Militare clasa I";"武功徽章";"武\t功\t徽\t章";;
"jap_merit/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_wound_badge/name";"Wound Badge";"Insigne des blessés";"Distintivo per feriti";"Wound Badge";"Wound Badge";"Нагрудный знак За ранение";"Wound Badge";"Wound Badge";"Wound Badge";"Wound Badge";"Wound Badge";"Wound Badge";"Wound Badge";"Нагрудний знак За поранення";"Wound Badge";"Wound Badge";"Wound Badge";"Wound Badge";"Insigna rănitului";"Wound Badge";"Wound Badge";;
"it_wound_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_torpedo_bomber_badge/name";"Badge torpedo bombers";"Badge torpedo bombers";"Distintivo aerosiluranti";"Badge torpedo bombers";"Badge torpedo bombers";"Нагрудный знак Торпедоносец (золотой)";"Badge torpedo bombers";"Badge torpedo bombers";"Badge torpedo bombers";"Badge torpedo bombers";"Badge torpedo bombers";"Badge torpedo bombers";"Badge torpedo bombers";"Нагрудний знак торпедоносець (золотий)";"Badge torpedo bombers";"Badge torpedo bombers";"Badge torpedo bombers";"Badge torpedo bombers";"Insigna bombardierului torpilor";"Badge torpedo bombers";"Badge torpedo bombers";;
"it_torpedo_bomber_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_tanker_badge_silver/name";"Tanker badge (silver)";"Insigne des Tankistes (Argent)";"Distintivo carrista (argento)";"Tanker badge (silver)";"Tanker badge (silver)";"Нагрудный знак танковых войск (серебряный)";"Tanker badge (silver)";"Tanker badge (silver)";"Tanker badge (silver)";"Tanker badge (silver)";"Tanker badge (silver)";"Tanker badge (silver)";"Tanker badge (silver)";"Нагрудний знак танкових військ (срібний)";"Tanker badge (silver)";"Tanker badge (silver)";"Tanker badge (silver)";"Tanker badge (silver)";"Insigna tanchistului (argint)";"Tanker badge (silver)";"Tanker badge (silver)";;
"it_tanker_badge_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_tanker_badge_gold/name";"Tanker badge (gold)";"Insigne des Tankistes (Or)";"Distintivo carrista (oro)";"Tanker badge (gold)";"Tanker badge (gold)";"Нагрудный знак танковых войск (золотой)";"Tanker badge (gold)";"Tanker badge (gold)";"Tanker badge (gold)";"Tanker badge (gold)";"Tanker badge (gold)";"Tanker badge (gold)";"Tanker badge (gold)";"Нагрудний знак танкових військ (золотий)";"Tanker badge (gold)";"Tanker badge (gold)";"Tanker badge (gold)";"Tanker badge (gold)";"Insigna tanchistului (aur)";"Tanker badge (gold)";"Tanker badge (gold)";;
"it_tanker_badge_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_savoy_officer_order/name";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Ordine Militare di Savoia (Ufficiale)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Савойский военный орден (офицер)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Савойський військовий орден (офіцер)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";"Ordinul Militar al Savoy (Ofițer)";"Military Order of Savoy (Officer)";"Military Order of Savoy (Officer)";;
"it_savoy_officer_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_savoy_cavalier_order/name";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Ordine Militare di Savoia (Cavaliere)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Савойский военный орден (кавалер)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Савойський військовий орден (кавалер)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Ordinul Militar al Savoy (Cavaler)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";;
"it_savoy_cavalier_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_navy_valor_medal_silver/name";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medaglia al Valore della Marina (Argento)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Медаль За доблесть на море (серебряная)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Медаль За доблесть на морі (срібна)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medalia Valorii Marinei (Argint)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";;
"it_navy_valor_medal_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_navy_valor_medal_gold/name";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medaglia al Valore della Marina (Oro)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Медаль За доблесть на море (золотая)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Медаль За доблесть на морі (золота)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medalia Valorii Marinei (Aur)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";;
"it_navy_valor_medal_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_navy_valor_medal_bronze/name";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medaglia al Valore della Marina (Bronzo)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Медаль За доблесть на море (бронзовая)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Медаль За доблесть на морі (бронзова)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medalia Valorii Marinei (Bronz)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";;
"it_navy_valor_medal_bronze/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_military_valor_medal_silver/name";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medaglia al Valore Militare (Argento)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Медаль За воинскую доблесть (серебряная)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Медаль За військову доблесть (срібна)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medalia Valorii Militare (Argint)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";;
"it_military_valor_medal_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_military_valor_medal_gold/name";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medaglia al Valore Militare (Oro)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Медаль За воинскую доблесть (золотая)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Медаль За військову доблесть (золота)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medalia Valorii Militare (Aur)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";;
"it_military_valor_medal_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_warrior/name";"Medal of Military Valor (Bronze)";"Médaille ""Pour Valeur au Combat""";"Medaglia ""Al Valore Militare""";"Medaille ""Für Tapferkeit im Kampf""";"Medalla ""al valor en combate""";"Медаль За воинскую доблесть (бронзовая)";"Medal „Medaglia Al Valore Militareza” („Medal Waleczności Wojskowej”)";"Medaile za vojenské zásluhy (Medaglia Al Valore Militare)";"Muharebe Cesaret Madalyası";"英\t勇\t作\t战\t勋\t章";"武勇章";"Medalha ''Per il servizio al fronte'' (Pelo serviço na frente)";"Medal of Military Valor (Bronze)";"Медаль ""За військову доблесть"" ";"Medalja ""Za Borbenu Vrednost""";"Katonai Vitézségi Érem";"군사용맹장 금장(Medaglia d'oro al valor militare)";"Медаль ""За воінскую доблесць""";"Medalia Valorii Militare (Bronz)";"英勇作戰勳章";"英\t勇\t作\t战\t勋\t章";;
"it_warrior/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_merit/name";"Cross of Merit of War";"Médaille ""Pour Service au Combat""";"Croce ""Al Merito di Guerra""";"Medaille ""Für die Teilnahme an Kampfeinsätzen""";"Medalla ""al mérito de guerra""";"Крест За боевые заслуги";"Krzyż „Za zasługi wojenne” ";"Kříž za vojenské zásluhy (Croce al Merito di Guerra)";"Muharebe Hizmet Madalyası";"作\t战\t服\t务\t勋\t章";"勲功章
";"Medalha ""Al valore nel combattimento"" (Pelo valor em combate)";"Cross of Merit of War";"Медаль ""За бойові заслуги"" ";"Medalja ""Za Službu u Borbi""";"Érdemleges szolgálatért kereszt";"전투공훈십자장(Croce al Merito di Guerra)";"Медаль ""За баявыя заслугі""";"Crucea de merit în război";"作戰服務勳章";"作\t战\t服\t务\t勋\t章";;
"it_merit/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_interceptor_badge/name";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Distintivo dell'Intercettore (oro)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Нагрудный знак Перехватчик (золотой)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Нагрудний знак Перехоплювач (золотий)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Insignă interceptor (aurie)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";;
"it_interceptor_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
